unix,date,symbol,open,high,low,close,Volume ADA,Volume USD
1651449600,2022-05-02 00:00:00,ADA/USD,0.79032,0.79393,0.76572,0.78717,184503.05956557,145235.27339822974
1651363200,2022-05-01 00:00:00,ADA/USD,0.75768,0.79680,0.75562,0.78626,380210.75706997,298944.50985383464
1651276800,2022-04-30 00:00:00,ADA/USD,0.80391,0.81591,0.74002,0.75493,386038.97169668,291432.40090297465
1651190400,2022-04-29 00:00:00,ADA/USD,0.83308,0.83888,0.79000,0.80343,236090.32875472,189682.05283140467
1651104000,2022-04-28 00:00:00,ADA/USD,0.83949,0.85079,0.83099,0.84058,98861.06574240,83100.63464174658
1651017600,2022-04-27 00:00:00,ADA/USD,0.82710,0.85437,0.82009,0.84085,425099.97762329,357445.31618454336
1650931200,2022-04-26 00:00:00,ADA/USD,0.89736,0.89803,0.82381,0.82653,275385.28608272,227614.20050595055
1650844800,2022-04-25 00:00:00,ADA/USD,0.88340,0.90275,0.58000,0.90275,650438.21259673,587183.096421698
1650758400,2022-04-24 00:00:00,ADA/USD,0.88846,0.89867,0.87770,0.88504,118613.60395240,104977.7840420321
1650672000,2022-04-23 00:00:00,ADA/USD,0.90273,0.90571,0.88294,0.88895,154862.74771171,137665.2395783246
1650585600,2022-04-22 00:00:00,ADA/USD,0.90804,0.92491,0.89480,0.90719,251463.65343128,228125.31175632292
1650499200,2022-04-21 00:00:00,ADA/USD,0.93800,0.97000,0.90132,0.90569,147317.94964156,133424.39381086448
1650412800,2022-04-20 00:00:00,ADA/USD,0.94977,0.97457,0.93500,0.94074,116991.20740478,110058.30845397274
1650326400,2022-04-19 00:00:00,ADA/USD,0.94025,0.95210,0.92756,0.95210,174404.95300717,166050.95575812654
1650240000,2022-04-18 00:00:00,ADA/USD,0.92430,0.94021,0.87745,0.93639,319730.11097740,299392.07861812756
1650153600,2022-04-17 00:00:00,ADA/USD,0.94334,0.95781,0.91419,0.91419,21737.81794485,19872.495787002423
1650067200,2022-04-16 00:00:00,ADA/USD,0.95490,0.95779,0.94041,0.95473,99974.91605912,95449.05160912363
1649980800,2022-04-15 00:00:00,ADA/USD,0.93264,0.95879,0.93119,0.95175,147964.91915793,140825.6118085599
1649894400,2022-04-14 00:00:00,ADA/USD,0.97353,0.98114,0.92342,0.93072,351946.55074572,327563.6937100565
1649808000,2022-04-13 00:00:00,ADA/USD,0.95334,0.98012,0.93609,0.97478,438106.36972285,427057.3270784397
1649721600,2022-04-12 00:00:00,ADA/USD,0.92500,0.98059,0.91774,0.95500,448162.46511197,427995.15418193134
1649635200,2022-04-11 00:00:00,ADA/USD,1.02069,1.03044,0.91806,0.91866,617236.14092031,567030.153217852
1649548800,2022-04-10 00:00:00,ADA/USD,1.04155,1.06901,1.03000,1.03407,100922.31663607,104360.7399638609
1649462400,2022-04-09 00:00:00,ADA/USD,1.02787,1.04237,1.02507,1.04237,437322.60081559,455851.95941214653
1649376000,2022-04-08 00:00:00,ADA/USD,1.08411,1.09744,1.02000,1.02305,479974.84107410,491038.26116085803
1649289600,2022-04-07 00:00:00,ADA/USD,1.06000,1.10000,1.04500,1.09059,95780.44329626,104457.19365446818
1649203200,2022-04-06 00:00:00,ADA/USD,1.15951,1.15951,1.04777,1.04777,254286.01412728,266433.2570221402
1649116800,2022-04-05 00:00:00,ADA/USD,1.21377,1.21704,1.16947,1.17142,138448.15950104,162180.94300270826
1649030400,2022-04-04 00:00:00,ADA/USD,1.16680,1.24130,1.16384,1.21195,223292.02488489,270618.7695592425
1648944000,2022-04-03 00:00:00,ADA/USD,1.15702,1.19729,1.14769,1.18935,97797.03026436,116314.89794491656
1648857600,2022-04-02 00:00:00,ADA/USD,1.16373,1.18990,1.15414,1.15552,74751.78332432,86377.18066691826
1648771200,2022-04-01 00:00:00,ADA/USD,1.14037,1.17440,1.10979,1.16496,210966.61601463,245767.66899240337
1648684800,2022-03-31 00:00:00,ADA/USD,1.18736,1.22580,1.13251,1.14208,274209.72409714,313169.44169686164
1648598400,2022-03-30 00:00:00,ADA/USD,1.19084,1.21445,1.17142,1.19688,101619.19617077,121625.98351287119
1648512000,2022-03-29 00:00:00,ADA/USD,1.18099,1.23980,1.17521,1.19265,133583.74836900,159318.65749228786
1648425600,2022-03-28 00:00:00,ADA/USD,1.17704,1.24541,1.16000,1.16000,628526.56457815,729090.814910654
